x,y,group
7.7396,0.6206,background
4.3888,4.5826,background
8.586,1.2903,background
6.9737,1.5233,background
0.9418,6.3228,background
9.7562,3.9293,background
7.6114,9.2185,background
7.8606,3.1916,background
1.2811,7.2618,background
4.5039,4.611,background
3.708,6.5995,background
9.2676,5.997,background
6.4387,4.7278,background
8.2276,9.5006,background
4.4341,3.4271,background
2.2724,1.7724,background
5.5458,6.7809,background
0.6382,8.4601,background
8.2763,0.4025,background
6.3166,4.4963,background
7.5809,8.9249,background
3.5453,7.4962,background
9.707,9.9181,background
8.9312,5.3141,background
7.7838,6.6,background
1.9464,3.0248,background
4.6672,9.4754,background
0.438,3.6634,background
1.5429,7.3851,background
6.8305,4.0314,background
7.4476,5.6182,background
9.6751,7.1978,background
3.2583,5.0893,background
3.7046,9.0709,background
4.6956,4.193,background
1.8947,6.4707,background
1.2992,3.4236,background
4.757,4.0816,background
2.2691,4.4005,background
6.6981,1.2581,background
4.3715,0.9172,background
8.3268,6.6749,background
7.0027,6.5552,background
3.1237,6.6291,background
8.3226,0.1977,background
8.0476,3.2655,background
3.8748,1.9781,background
2.8833,7.7815,background
6.825,8.6063,background
1.3975,2.4668,background
1.9991,6.6785,background
0.0736,1.2936,background
7.8692,2.7515,background
6.6485,1.3865,background
7.0517,2.8352,background
7.8073,6.7474,background
4.5892,9.1033,background
5.6874,2.0252,background
1.398,5.4208,background
1.1453,7.0139,background
6.684,9.5292,background
4.711,6.1006,background
5.6524,2.5511,background
7.65,6.2548,background
6.3472,3.2049,background
5.5358,9.7613,background
5.5921,3.9968,background
3.0395,6.8543,background
0.3082,0.2323,background
4.3672,4.0006,background
2.1458,8.7511,background
4.0853,6.1023,background
8.534,4.4394,background
2.3394,9.3594,background
0.583,8.5398,background
2.8138,3.2222,background
2.9359,5.4455,background
6.6192,4.8982,background
5.5703,6.322,background
7.839,3.3411,background
6.6431,2.4421,background
4.0639,9.1267,background
8.1402,9.2387,background
1.6697,8.4332,background
0.2271,9.782,background
0.9005,7.4499,background
7.2236,7.6467,background
4.6188,7.6259,background
1.6127,4.8061,background
5.0104,4.5645,background
1.5231,2.4023,background
6.9632,6.4482,background
4.4616,2.8932,background
3.8102,2.5781,background
3.0151,5.8596,background
6.3028,4.0998,background
3.6181,2.1886,background
0.8765,8.1606,background
1.1801,8.6057,background
9.619,1.677,background
9.0858,0.0751,background
6.9971,3.3613,background
2.6587,7.9751,background
9.6918,8.3917,background
7.7875,1.3833,background
7.1689,7.7434,background
4.4936,1.157,background
2.7224,3.9006,background
0.9639,9.9861,background
9.026,1.9259,background
4.5578,1.5396,background
2.0236,4.228,background
3.0596,6.1967,background
5.7922,9.329,background
1.7677,9.8082,background
8.5661,0.6964,background
7.5852,1.38,background
7.1946,7.9074,background
4.3209,2.7063,background
6.2731,8.8485,background
5.841,6.6345,background
6.4985,1.1184,background
0.8444,8.3253,background
4.1581,1.7636,background
0.4161,4.235,background
4.9399,5.5218,background
3.2986,5.0077,background
1.4452,6.8616,background
1.034,6.5269,background
5.8764,9.9204,background
1.7059,9.9942,background
9.2512,5.1646,background
5.8106,0.952,background
3.4687,7.2784,background
5.9092,9.7666,background
0.228,3.1833,background
9.5856,4.6121,background
4.823,4.2478,background
7.8274,0.5142,background
0.8273,6.7226,background
4.8666,3.5334,background
4.9071,7.8746,background
9.3783,8.3212,background
5.7173,8.2123,background
4.7349,4.1667,background
2.6698,3.2155,background
3.3157,7.4882,background
5.2067,8.0139,background
4.3891,4.9126,background
0.2161,8.9303,background
8.2629,1.4391,background
8.9616,8.7907,background
1.4025,0.961,background
5.5404,1.5353,background
1.0858,5.3384,background
6.7224,0.6752,background
2.8123,0.5281,background
6.5942,0.0052,background
7.2699,4.3632,background
7.6865,7.7462,background
1.0774,0.3484,background
9.1601,6.5226,background
2.3021,8.2313,background
0.3741,1.68,background
5.5485,1.4686,background
3.7092,8.608,background
8.2979,8.2312,background
8.0825,5.3894,background
3.1714,8.192,background
9.529,0.9276,background
2.9092,3.9448,background
5.1506,7.378,background
2.5597,2.5745,background
9.3604,7.5233,background
1.6461,5.0418,background
0.4491,7.5027,background
4.351,4.6468,background
9.9238,3.679,background
8.9168,2.1919,background
7.4861,2.0838,background
8.9079,7.5149,background
8.9345,1.1891,background
5.1886,0.8598,background
3.1593,1.7629,background
7.7201,1.7535,background
6.6166,8.2311,background
3.7366,3.9851,background
0.9447,9.9039,background
7.4679,1.3721,background
2.6246,6.5354,background
9.3681,4.4873,background
2.4097,3.9292,background
1.2276,8.7508,background
8.3111,9.756,background
1.5328,8.7286,background
1.7927,1.923,background
5.9938,2.208,background
8.7456,6.5607,background
1.9643,2.8908,background
3.1032,7.3473,background
7.774,5.6642,background
9.7183,5.5091,background
5.0074,8.2855,background
1.439,7.1053,background
0.1394,0.2658,background
2.2966,0.4946,background
1.3182,6.0156,background
6.7766,4.8619,background
1.2183,2.6018,background
5.0633,4.1866,background
6.9426,7.5791,background
5.8112,8.2661,background
1.9978,5.6122,background
8.0412,3.8537,background
7.1541,2.707,background
7.3898,5.2192,background
1.3106,3.1475,background
1.2375,5.641,background
9.2756,6.7665,background
3.9758,0.6608,background
3.0095,0.0107,background
4.8858,2.1228,background
6.6286,8.9451,background
9.5562,6.4629,background
2.8645,1.7196,background
9.2481,8.9026,background
0.2486,4.6996,background
5.552,4.7609,background
6.3398,9.3554,background
1.059,0.5949,background
1.4034,2.1518,background
4.1911,5.8577,background
9.6623,1.9549,background
5.9604,6.7953,background
9.3302,2.1409,background
8.0436,0.9916,background
4.6738,2.0699,background
7.8476,4.2273,background
0.1784,1.7614,background
1.0914,1.3469,background
8.2943,8.6028,background
7.9682,3.204,background
2.3264,3.6076,background
5.3077,0.5527,background
6.0602,3.5737,background
8.6774,2.6481,background
6.0311,6.1049,background
4.1257,2.0539,background
3.7418,8.8837,background
4.2588,9.2967,background
6.5193,0.9983,background
8.6749,1.074,background
4.539,1.1533,background
2.4784,6.1957,background
2.3666,1.2197,background
7.4601,8.5238,background
