TOEFL Score,University Rating,Research,GRE Score,CGPA,SOP,LOR,Admitted
118,4,1,337,9.65,4.5,4.5,True
107,4,1,324,8.87,4,4.5,True
104,3,1,316,8,3,3.5,True
110,3,1,322,8.67,3.5,2.5,True
103,2,0,314,8.21,2,3,False
115,5,1,330,9.34,4.5,3,True
109,3,1,321,8.2,3,4,True
101,2,0,308,7.9,3,4,False
102,1,0,302,8,2,1.5,False
108,3,0,323,8.6,3.5,3,False
106,3,1,325,8.4,3.5,4,False
111,4,1,327,9,4,4.5,True
112,4,1,328,9.1,4,4.5,True
109,3,1,307,8,4,3,False
104,3,1,311,8.2,3.5,2,False
105,3,0,314,8.3,3.5,2.5,False
107,3,0,317,8.7,4,3,False
106,3,1,319,8,4,3,False
110,3,0,318,8.8,4,3,False
102,3,0,303,8.5,3.5,3,False
107,3,1,312,7.9,3,2,False
114,4,0,325,8.4,3,2,False
116,5,1,328,9.5,5,5,True
119,5,1,334,9.7,5,4.5,True
119,5,1,336,9.8,4,3.5,True
120,5,1,340,9.6,4.5,4.5,True
109,5,0,322,8.8,4.5,3.5,True
98,2,1,298,7.5,1.5,2.5,False
93,1,0,295,7.2,2,2,False
99,2,0,310,7.3,1.5,2,False
97,2,1,300,8.1,3,3,False
103,3,1,327,8.3,4,4,True
118,4,1,338,9.4,3,4.5,True
114,5,1,340,9.6,4,4,True
112,5,1,331,9.8,4,5,True
110,5,1,320,9.2,5,5,True
106,2,0,299,8.4,4,4,False
105,1,0,300,7.8,1,2,False
105,1,0,304,7.5,3,1.5,False
108,2,0,307,7.7,4,3.5,False
110,3,1,308,8,3.5,3,False
105,2,1,316,8.2,2.5,2.5,False
107,2,1,313,8.5,2.5,2,False
117,4,0,332,9.1,4.5,4,True
113,5,1,326,9.4,4.5,4,True
110,5,1,322,9.1,5,4,True
114,5,1,329,9.3,4,5,True
119,5,0,339,9.7,4.5,4,True
110,3,1,321,8.85,3.5,5,True
111,4,1,327,8.4,3,4,True
98,3,1,313,8.3,2.5,4.5,True
100,2,1,312,7.9,1.5,3.5,False
116,4,1,334,8,4,3,True
112,4,1,324,8.1,4,2.5,True
110,3,0,322,8,3,3.5,False
103,3,0,320,7.7,3,3,False
102,3,0,316,7.4,2,3,False
99,2,0,298,7.6,4,2,False
99,1,1,300,6.8,3,2,False
104,2,0,311,8.3,2,2,False
100,2,0,309,8.1,3,3,False
101,3,0,307,8.2,4,3,False
105,2,1,304,8.2,3,3,False
107,2,1,315,8.5,4,3,False
111,3,0,325,8.7,3,3.5,False
112,4,0,325,8.92,3.5,3.5,False
114,3,0,327,9.02,3,3,False
107,2,1,316,8.64,3.5,3.5,False
109,3,1,318,9.22,3.5,4,False
115,4,1,328,9.16,4.5,4,True
118,5,1,332,9.64,5,5,True
112,5,1,336,9.76,5,5,True
111,5,1,321,9.45,5,5,True
108,4,1,314,9.04,4.5,4,True
106,3,0,314,8.9,3,5,True
114,2,1,329,8.56,2,4,True
112,3,1,327,8.72,3,3,True
99,2,0,301,8.22,3,2,False
95,2,1,296,7.54,3,2,False
93,1,0,294,7.36,1.5,2,False
105,3,1,312,8.02,2,3,False
120,4,1,340,9.5,5,5,True
110,5,1,320,9.22,5,4.5,True
115,5,1,322,9.36,4,4.5,True
115,5,1,340,9.45,4.5,4.5,True
103,4,0,319,8.66,4.5,3.5,True
106,3,0,315,8.42,4.5,3.5,True
107,2,0,317,8.28,3.5,3,False
108,3,0,314,8.14,4.5,3.5,False
109,4,1,316,8.76,4.5,3.5,True
106,2,1,318,7.92,4,4,False
97,3,0,299,7.66,5,3.5,False
98,2,0,298,8.03,4,3,False
97,2,1,301,7.88,3,3,False
99,3,0,303,7.66,2,2.5,False
100,4,0,304,7.84,1.5,2.5,False
100,2,0,306,8,3,3,False
120,3,1,331,8.96,4,4,True
119,4,1,332,9.24,5,4.5,True
113,3,1,323,8.88,4,4,True
107,3,1,322,8.46,3.5,3.5,True
105,2,0,312,8.12,2.5,3,False
106,2,0,314,8.25,4,3.5,False
104,2,0,317,8.47,4.5,4,False
112,3,1,326,9.05,3.5,3,True
110,3,1,316,8.78,4,4.5,False
111,4,1,329,9.18,4.5,4.5,True
117,4,1,338,9.46,3.5,4.5,True
116,5,1,331,9.38,5,5,True
103,5,0,304,8.64,5,4,False
108,5,0,305,8.48,3,3,False
109,4,1,321,8.68,4,4,False
107,3,1,301,8.34,3.5,3.5,False
110,2,0,320,8.56,4,3.5,True
105,3,1,311,8.45,3.5,3,False
106,4,1,310,9.04,4.5,4.5,False
102,3,0,299,8.62,4,3.5,False
104,4,0,290,7.46,2,2.5,False
99,2,0,296,7.28,3,3.5,False
104,5,1,327,8.84,3,3.5,True
117,5,1,335,9.56,5,5,True
119,5,1,334,9.48,4.5,4.5,True
106,4,0,310,8.36,1.5,2.5,False
108,3,0,308,8.22,3.5,3.5,False
106,4,0,301,8.47,2.5,3,False
100,3,1,300,8.66,2,3,False
113,3,1,323,9.32,4,3,True
112,3,1,319,8.71,2.5,2,True
112,3,1,326,9.1,3.5,3,True
118,5,1,333,9.35,5,5,True
114,5,1,339,9.76,4,4.5,True
105,5,0,303,8.65,5,4.5,True
105,5,0,309,8.56,3.5,3.5,True
112,5,0,323,8.78,4,4.5,True
113,5,1,333,9.28,4,4,True
109,4,1,314,8.77,3.5,4,True
103,3,0,312,8.45,5,4,True
100,2,1,316,8.16,1.5,3,True
116,2,1,326,9.08,4.5,3,True
109,1,0,318,9.12,3.5,3.5,True
110,2,1,329,9.15,4,3,True
118,2,1,332,9.36,4.5,3.5,True
115,5,1,331,9.44,4,3.5,True
120,4,1,340,9.92,4.5,4,True
112,2,1,325,8.96,3,3.5,True
113,2,1,320,8.64,2,2.5,True
105,3,0,315,8.48,2,2.5,True
114,3,1,326,9.11,3,3,True
116,4,1,339,9.8,4,3.5,True
106,2,1,311,8.26,3.5,3,True
114,4,1,334,9.43,4,4,True
116,5,1,332,9.28,5,5,True
112,5,1,321,9.06,5,5,True
105,3,0,324,8.75,3,4,True
108,3,0,326,8.89,3,3.5,True
109,3,0,312,8.69,3,3,True
105,3,0,315,8.34,2,2.5,False
104,2,0,309,8.26,2,2.5,False
106,2,0,306,8.14,2,2.5,False
100,1,0,297,7.9,1.5,2,False
103,1,0,315,7.86,1.5,2,False
99,1,0,298,7.46,1.5,3,False
109,3,0,318,8.5,3,3,False
105,3,0,317,8.56,3.5,3,False
111,4,1,329,9.01,4.5,4,True
110,5,0,322,8.97,4.5,4,True
102,3,0,302,8.33,3.5,5,False
102,3,0,313,8.27,2,3,False
97,2,1,293,7.8,2,4,False
99,2,0,311,7.98,2.5,3,False
101,2,1,312,8.04,2.5,3.5,False
117,5,1,334,9.07,4,4.5,True
110,4,1,322,9.13,4,5,True
113,4,1,323,9.23,4,4.5,True
111,4,1,321,8.97,4,4,True
111,4,1,320,8.87,4.5,3.5,True
119,4,1,329,9.16,4.5,4.5,True
110,3,0,319,9.04,3.5,3.5,True
108,3,0,309,8.12,2.5,3,True
102,3,0,307,8.27,3,3,True
104,3,0,300,8.16,3.5,3,True
107,2,0,305,8.42,2.5,2.5,True
100,2,0,299,7.88,3,3.5,False
110,3,0,314,8.8,4,4,True
106,2,0,316,8.32,2.5,4,True
113,4,1,327,9.11,4.5,4.5,True
107,3,1,317,8.68,3.5,3,True
118,5,1,335,9.44,4.5,3.5,True
115,5,1,331,9.36,4.5,3.5,True
112,5,1,324,9.08,5,5,True
111,5,1,324,9.16,4.5,4,True
110,5,1,323,8.98,4,5,True
114,5,1,322,8.94,4.5,4,True
118,5,1,336,9.53,4.5,5,True
109,3,0,316,8.76,3.5,3,True
107,2,1,307,8.52,3,3.5,True
105,2,0,306,8.26,3,2.5,True
106,2,0,310,8.33,3.5,2.5,True
104,3,0,311,8.43,4.5,4.5,False
107,3,0,313,8.69,4,4.5,True
103,3,1,317,8.54,2.5,3,True
110,2,1,315,8.46,3.5,3,True
120,5,1,340,9.91,4.5,4.5,True
120,5,1,334,9.87,4,5,True
105,3,0,298,8.54,3.5,4,False
99,2,0,295,7.65,2.5,3,False
99,2,0,315,7.89,3.5,3,False
102,3,1,310,8.02,3.5,4,False
106,2,0,305,8.16,3,3,False
104,3,1,301,8.12,3.5,4,False
108,4,1,325,9.06,4.5,4,True
110,4,1,328,9.14,5,4,True
120,4,1,338,9.66,5,5,True
119,5,1,333,9.78,5,4.5,True
117,4,1,331,9.42,4.5,5,True
116,5,1,330,9.36,5,4.5,True
112,4,1,322,9.26,4.5,4.5,True
109,4,1,321,9.13,4,4,True
110,4,1,324,8.97,3,3.5,True
104,3,0,312,8.42,3.5,3.5,True
103,3,0,313,8.75,4,4,True
110,3,0,316,8.56,3.5,4,True
113,4,0,324,8.79,4.5,4,True
109,2,0,308,8.45,3,4,True
105,2,0,305,8.23,3,2,False
99,2,0,296,8.03,2.5,2.5,False
110,2,0,306,8.45,3.5,4,False
110,2,0,312,8.53,3.5,3,False
112,3,0,318,8.67,4,3.5,True
111,4,1,324,9.01,3,3,True
104,3,0,313,8.65,4,4.5,True
106,3,1,319,8.33,3.5,2.5,True
107,2,0,312,8.27,2.5,3.5,False
100,2,0,304,8.07,2.5,3.5,False
113,5,1,330,9.31,5,4,True
111,5,1,326,9.23,4.5,4,True
112,4,1,325,9.17,4,4.5,True
114,5,1,329,9.19,4.5,5,True
104,3,0,310,8.37,2,3.5,False
100,1,0,299,7.89,1.5,2,False
101,1,0,296,7.68,2.5,3,False
103,2,0,317,8.15,2.5,2,False
115,3,1,324,8.76,3.5,3,False
114,3,1,325,9.04,3.5,3,True
107,2,0,314,8.56,2.5,4,False
110,4,1,328,9.02,4,2.5,True
105,3,0,316,8.73,3,3.5,True
104,2,0,311,8.48,2.5,3.5,True
110,3,1,324,8.87,3.5,4,True
111,3,1,321,8.83,3.5,4,True
104,3,1,320,8.57,3,2.5,True
99,2,0,316,9,2.5,3,False
100,2,1,318,8.54,2.5,3.5,True
115,4,1,335,9.68,4.5,4.5,True
114,4,0,321,9.12,4,5,True
110,4,0,307,8.37,4,4.5,True
99,3,0,309,8.56,4,4,True
100,3,1,324,8.64,4,5,True
102,4,1,326,8.76,5,5,True
119,4,1,331,9.34,5,4.5,True
108,5,1,327,9.13,5,3.5,True
104,3,0,312,8.09,3.5,4,True
103,2,1,308,8.36,2.5,4,False
111,3,1,324,8.79,2.5,1.5,False
110,2,1,325,8.76,3,2.5,True
102,3,0,313,8.68,2.5,2.5,True
105,2,0,312,8.45,2,2.5,True
107,3,1,314,8.17,3,3.5,True
113,4,0,327,9.14,4.5,5,True
108,4,0,308,8.34,4.5,5,True
105,2,1,306,8.22,2.5,3,True
96,2,0,299,7.86,1.5,2,False
95,1,0,294,7.64,1.5,1.5,False
99,1,1,312,8.01,1,1.5,False
100,1,0,315,7.95,2,2.5,False
110,3,1,322,8.96,3.5,3,True
113,5,1,329,9.45,5,4.5,True
101,2,0,320,8.62,2.5,3,False
103,2,0,308,8.49,3,3.5,False
102,2,0,304,8.73,3,4,False
102,3,1,311,8.64,4.5,4,False
110,3,1,317,9.11,4,4.5,True
106,3,1,312,8.79,4,3.5,True
111,3,1,321,8.9,2.5,3,True
112,4,1,340,9.66,5,4.5,True
116,5,1,331,9.26,4,4,True
118,5,1,336,9.19,4.5,4,True
114,5,1,324,9.08,5,4.5,True
104,4,0,314,9.02,5,5,True
109,3,0,313,9,4,3.5,True
105,2,0,307,7.65,2.5,3,False
102,2,0,300,7.87,1.5,2,False
99,2,0,302,7.97,1,2,False
98,1,1,312,8.18,3.5,3,False
101,2,1,316,8.32,2.5,2,False
100,2,0,317,8.57,3,2.5,False
107,3,0,310,8.67,3.5,3.5,True
120,3,0,320,9.11,4,4.5,True
114,3,1,330,9.24,4.5,4.5,True
112,3,0,305,8.65,3,3.5,True
106,2,0,309,8,2.5,2.5,False
108,2,0,319,8.76,2.5,3,False
105,2,1,322,8.45,3,3,False
107,3,1,323,8.55,3.5,3.5,True
106,2,0,313,8.43,2.5,2,False
109,3,1,321,8.8,3.5,3.5,True
110,3,1,323,9.1,4,3.5,True
112,4,1,325,9,4,4,True
108,3,0,312,8.53,3.5,3,False
110,4,0,308,8.6,3.5,3,False
104,3,1,320,8.74,3,3.5,True
108,4,1,328,9.18,4.5,4,True
107,4,1,311,9,4.5,4.5,True
100,3,0,301,8.04,3.5,3,False
105,2,0,305,8.13,3,4,False
104,2,0,308,8.07,2.5,3,False
101,2,0,298,7.86,1.5,2,False
99,1,0,300,8.01,1,2.5,False
111,3,1,324,8.8,2.5,2,True
113,4,1,327,8.69,3.5,3,True
106,3,1,317,8.5,4,3.5,True
104,3,1,323,8.44,4,4,True
107,2,0,314,8.27,2.5,4,True
102,2,0,305,8.18,2,2.5,False
104,3,0,315,8.33,3,2.5,False
116,3,1,326,9.14,3.5,4,True
100,3,0,299,8.02,2,2,False
101,2,0,295,7.86,2.5,2,False
112,4,1,324,8.77,4,3.5,True
96,2,0,297,7.89,2.5,1.5,False
113,3,1,327,8.66,3.5,3,True
105,2,1,311,8.12,3,2,True
106,3,1,308,8.21,3.5,2.5,True
108,3,1,319,8.54,3,3.5,True
107,4,1,312,8.65,4.5,4,True
111,4,1,325,9.11,4,4.5,True
110,3,0,319,8.79,3,2.5,True
118,5,1,332,9.47,5,5,True
108,5,1,323,8.74,4,4,True
107,5,1,324,8.66,3.5,4,True
107,3,1,312,8.46,3,3,True
110,3,1,326,8.76,3.5,3.5,True
106,3,0,308,8.24,3,3,False
103,2,0,305,8.13,2.5,3.5,False
96,2,0,295,7.34,1.5,2,False
98,1,0,316,7.43,1.5,2,False
97,2,0,304,7.64,1.5,2,False
94,1,0,299,7.34,1,1,False
99,1,0,302,7.25,2,2,False
101,3,0,313,8.04,2.5,3,False
107,3,1,318,8.27,3,3.5,True
110,4,1,325,8.67,3.5,4,True
100,2,1,303,8.06,3,3.5,False
102,3,0,300,8.17,3.5,2.5,False
98,2,0,297,7.67,2.5,3,False
106,2,0,317,8.12,2,3.5,True
109,3,1,327,8.77,3.5,4,True
104,2,1,301,7.89,3.5,3.5,False
105,2,0,314,7.64,2.5,2,False
107,2,0,321,8.44,2,1.5,True
110,3,1,322,8.64,4,5,True
116,4,1,334,9.54,4,3.5,True
115,5,1,338,9.23,4.5,5,True
103,2,0,306,8.36,2.5,3,False
102,3,1,313,8.9,3.5,4,True
114,4,1,330,9.17,4.5,3,True
104,3,1,320,8.34,3.5,4.5,True
98,1,0,311,7.46,1,2.5,False
92,1,0,298,7.88,2,2,False
98,1,1,301,8.03,2,3,False
103,2,0,310,8.24,2.5,2.5,True
110,3,1,324,9.22,3.5,3,True
119,4,1,336,9.62,4.5,4,True
109,3,1,321,8.54,3,3,True
105,2,0,315,7.65,2,2.5,False
101,2,0,304,7.66,2,2.5,False
96,2,0,297,7.43,2.5,2,False
100,1,0,290,7.56,1.5,2,False
98,1,0,303,7.65,2,2.5,False
99,1,1,311,8.43,2.5,3,True
104,3,1,322,8.84,3.5,4,True
105,3,1,319,8.67,3,3.5,True
110,4,1,324,9.15,4.5,4,True
100,3,0,300,8.26,3,3.5,False
113,4,1,340,9.74,5,5,True
117,5,1,335,9.82,5,5,True
101,2,0,302,7.96,2.5,3.5,False
105,2,0,307,8.1,2,3.5,False
97,2,0,296,7.8,1.5,2,False
108,3,1,320,8.44,3.5,4,True
102,2,0,314,8.24,2,2.5,False
106,3,0,318,8.65,2,3,True
112,4,1,326,9.12,4,3.5,True
104,2,0,317,8.76,3,3,True
111,4,1,329,9.23,4.5,4,True
110,3,1,324,9.04,3.5,3.5,True
107,3,1,325,9.11,3,3.5,True
116,4,1,330,9.45,5,4.5,True
103,3,0,312,8.78,3.5,4,False
117,4,1,333,9.66,5,4,True
100,2,0,304,8.22,3.5,3,False
105,2,0,315,8.34,3,3,False
109,3,1,324,8.94,3.5,3,True
116,4,1,330,9.23,4,3.5,True
101,3,1,311,7.64,2,2.5,False
99,3,0,302,7.45,2.5,3,False
103,4,1,322,8.02,3,2.5,False
100,3,1,298,7.95,2.5,4,False
101,3,1,297,7.67,2,4,False
98,1,0,300,8.02,2,2.5,False
96,1,0,301,7.56,3,4,False
94,2,0,313,8.13,2.5,1.5,False
102,4,1,314,7.88,2.5,2,False
101,3,1,317,7.94,3,2,False
110,4,1,321,8.35,3.5,4,True
106,4,1,327,8.75,4,4.5,True
104,3,0,315,8.1,4,2.5,False
103,3,0,316,7.68,3.5,2,False
111,2,0,309,8.03,2.5,4,False
102,2,1,308,7.98,2,3.5,False
100,3,0,299,7.42,2,3,False
112,3,1,321,8.95,3,4.5,True
112,4,1,322,9.02,3.5,2.5,True
119,5,1,334,9.54,4.5,5,True
114,5,1,325,9.46,4,5,True
111,5,1,323,9.86,4,5,True
106,3,0,312,8.57,3,5,True
101,3,1,310,8.65,3.5,5,True
103,2,0,316,8.74,2,4.5,False
115,5,1,340,9.06,5,4.5,True
104,3,1,311,8.13,4,3.5,True
112,2,1,320,8.78,3.5,3.5,True
112,4,1,324,9.22,4.5,4,True
111,4,0,316,8.54,4,5,True
103,3,0,306,8.21,3.5,3,False
105,2,0,309,7.68,2.5,4,False
110,1,1,310,7.23,1.5,4,False
106,1,1,317,7.65,1.5,3.5,False
110,1,1,318,8.54,2.5,3.5,False
105,2,0,312,8.46,1.5,3,False
104,2,0,305,7.79,2.5,1.5,False
112,1,1,332,8.66,1.5,3,True
116,4,1,331,9.44,4.5,4.5,True
114,5,1,321,9.16,4.5,4.5,True
113,5,1,324,9.25,4,5,True
116,5,1,328,9.08,4.5,5,True
118,4,1,327,9.67,5,5,True
108,3,1,320,8.97,3.5,5,True
109,2,0,312,9.02,2.5,4,True
101,3,0,315,9.13,3.5,4.5,True
112,4,1,320,8.86,3,4.5,True
113,4,1,324,9.25,4.5,4.5,True
116,4,1,328,9.6,5,3.5,True
103,3,1,319,8.76,2.5,4,True
105,2,0,310,8.01,3,3.5,True
102,2,0,305,7.64,1.5,2.5,False
100,2,0,299,7.88,2,2,False
99,1,0,295,7.57,2,1.5,False
100,1,1,312,8.53,3,3,False
113,4,1,329,9.36,4,3.5,True
105,4,1,319,8.66,4,4.5,True
102,3,1,301,8.13,2.5,2,False
105,4,0,307,7.94,3,3,False
107,3,0,304,7.86,3.5,3,False
97,2,0,298,7.21,2,3,False
96,4,0,305,8.26,3,4.5,False
99,4,1,314,8.73,3.5,4.5,True
101,5,1,318,8.78,3.5,5,True
110,4,1,323,8.88,4,5,True
114,4,1,326,9.16,4,3.5,True
110,5,1,320,9.27,4,4,True
103,3,0,311,8.09,2,4,False
116,4,1,327,9.48,4,4.5,True
102,2,0,316,8.15,4,3.5,False
105,4,1,308,7.95,3,2.5,False
101,3,0,300,7.88,3.5,2.5,False
104,3,0,304,8.12,2.5,2,False
105,4,0,309,8.18,3.5,2,False
103,3,1,318,8.49,4,4.5,True
110,4,1,325,8.96,4.5,4,True
102,3,1,321,9.01,3.5,4,True
107,4,1,323,8.48,3,2.5,True
113,4,1,328,8.77,4,2.5,True
103,5,0,304,7.92,5,3,True
106,3,1,317,7.89,3.5,3,True
101,2,1,311,8.34,2.5,3.5,False
102,3,0,319,8.37,2.5,2.5,False
115,4,0,327,9.14,3.5,4,True
112,3,1,322,8.62,3,4,True
110,3,0,302,8.5,4,4.5,False
105,2,1,307,8.12,2.5,4.5,False
99,4,0,297,7.81,3,3.5,False
101,4,1,298,7.69,2.5,4.5,False
95,2,1,300,8.22,3,1.5,False
99,3,1,301,8.45,2.5,2,False
108,5,1,332,9.02,4.5,4,True
117,5,1,337,9.87,5,5,True
120,5,1,330,9.56,4.5,5,True
103,4,0,312,8.43,4,5,True
113,4,0,327,9.04,4.5,4.5,True
