Review_Text,Satisfied
"I absolutely loved Phantom, as I have most of the Sword of Truth series (with the exception of Pillars of Creation and Naked Empire). Phantom deffinetly gets 5 stars, it didn't end as I wanted it to, but I still loved it, I read alot of reviews taht said it was to repetitive but I disagree, it was just a strong point in the book. I saw more low stars then high stars for this book and I wonder why, but I am probably one of the younger readers and I guess its just a different perspective I have, and for anyone considering whether to read this book I highly recommend it, but you must read the other's first, your could probably manage skipping POC and NE though, they WERE pointless.Overall I MUST give Goodkind props, I loved this book and it had me all over with all the twists and new exciting challenges it presented to the characters. So READ IT and I hope you'll enjoy it as much as I did.",True
I purchased this radio NEW not reconditioned to use in my garage. I took it to two outdoor parties at my brother's house. It died after a few hours in 100 degree weather. It sounded good while it lasted but at the price I would not buy another. Definitely not industrial strength or as tough as it looks. Maybe I could have mine reconditioned,False
"This tasted ok... had to add sweetener. However, the amount you get and the price you pay are just not compatible for me to buy again. Too high priced and too few servings for the money.",True
This movie is really hard to watch because the quality of picture is black and white and not exactly a crystal clear picture. The sound is also not the best quality. I would not recommend this video.,False
"Let's get it straight, this is not a movie to be picked apart by film students. If you're looking for that, look elsewhere. If you are looking for some good b movie action then this is your ticket. Drive in fans will love this.",True
"I have been a fan of Salvatores ever since I got homeland which I loved and since then I have read all his forgotten realms books. This book takes you back to Icewind Dale and has all the companions of the hall return in it. I think it was a great read and a must have for all fantasy readers, but make sure to read all the other books first. Buy this book you wont be disappointed.",True
A big fan of vampire stories which started with Dark Shadows. I really loved this story and all the characters. I can't wait for the sequel to find the new adventures of my new favorite characters.,True
"Girlz Night Out by Lucio Dutch is a fast-paced page turner with plenty of drama and unexpected turns! Hidden within the characters of each woman are valuable lessons that every woman can apply to her own life. The author, Lucio Dutch has mastered the delicate balance of being entertaining and educational. I'm anxiously waiting for his next literary jewel!",True
"I've never liked Limp Bizkit, and dont ever plan to. Fred's lyrics are very ameture..example..""I did it all for the Nookie, so you can get that cookie, and stick it up your ass."" He has no writing ability, and is just a white guy trying to be something he isn't. He is quite annoying, and this album doesn't prove him any greater. He needs to just give up, and if you haven't watched MTV's special on ""Album Launch."" HE IS A STLAKER! Having His studio decorated with Angelina Jolie pictures, and writing songs on how he feels for her, when they haven't ever spoken, and even seen each other. This guy has major issues, and i think needs to find some other profession. This album debut at #3, selling 150,000 copies. Yes, that really shows a great comeback..not!..Hopefully this will get Fred to just shut up for a minute,annoying voice, bad songs, and nothing better to sing about than people he doesn't know, and relationships he wishes he had..enough said!",False
"Lonely Planet Japan (Country Guide)On the Kindle this book is almost useless. Many links do not go to the right pages. There is no index (because the text is searchable); therefore, you cannot find a map without searching the entire text or starting in a chapter and flipping through every page. The maps themselves look scanned and get blurry when zoomed.",False
"This is a book written from a Christian perspective, yet the religious aspects do not overwhelm it. Non-religious people may find it helpful, too.It is written for mothers of young children, and primarily discusses how to arrange for and handle the care of your children by others.The underlying assumption is that the mother wishes to ensure that her children have the best possible experience while spending minimal hours in daycare.Many good ideas and suggestions. Lots of information for the working mother who wants to be conscientious about child care.",True
"I'm glad I didn't spend more than 25 cents on this book at a library book sale because I couldn't get past the first chapter. Almost everything in here I already knew, seemed to be a bunch of old stories that anyone who has read the newspaper already knows, just thrown together. A lot of the stories seemed to be from other sources, not even her own ""memories."" I was hoping to learn somethng new, you'd think she has a lot of stories to tell. Not worth your time (or the quarter I spent).",False
"Read Ezekiel C. Stern (San Diego). i agree wit him, i jus wanted to silence this wack ass kid, who wrote ""Ice Booby"". Kid sort that sh*t out, lern english before u try to diss a master. Beats were phat on this album.Kid, shut tha f**k up.One love y'all, im outGOD",True
"Just got my package and I am thrilled. This has the best flavor of all the Tabasco products, except for the Original. Thanks People.",True
"Im sorry, but Austin Powers simple doesnt belong in the 70's....Why didnt they do a movie about one of his earlier adventures before Vanessa and Felicity?...And as for having Beyonce Knowles co-star in it, she can't act to save her life. Actually, she really doesnt do anything in it but stand there and look sexy...The humor is almost completely different than the first two. Too much bathroom humor. Even though im not a big fan of Austin Powers, I can easily say that the first two are the only ones worth seeing...",False
"I bought this book many years ago. It was so profound that I bought everyone in my family one for Christmas that year. Shortly after reading this book my father who was not much into church or the bible, decided to start going to church with my mother and he ended up being baptized etc... This book truly changed several people who have read it. To me it was a confirmation of exactly what I always thought heaven would be like when I get there. Anyone that has lost loved ones, this book is a MUST to read, by the end of the book you will envy where they are, you will be excited to know that one day you will be there as well with them. Thank you Betty for sharing this with the world. :)",True
I wish that I would have read the previous customer review before I bought this item. It did not fit my phone which is an audiovox 8610 and wasn't worth paying shipping to return. I will pay more attention to customer reviews in the future.,False
There is nothing in this book that is going to help you. It just goes on and on and on with very common sense things that you already know or would know if you did even the smallest amount of research on the Internet.,False
